Id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
3141,I,0.1800,0.1350,0.0800,0.0330,0.0145,0.0070,0.0100,5
3521,I,0.2150,0.1500,0.0550,0.0410,0.0150,0.0090,0.0125,3
883,M,0.6600,0.5300,0.1700,1.3905,0.5905,0.2120,0.4530,15
3627,M,0.7150,0.5250,0.2000,1.8900,0.9500,0.4360,0.4305,10
2106,M,0.5950,0.4550,0.1550,1.0410,0.4160,0.2105,0.3650,14
3365,I,0.4400,0.3100,0.1150,0.3625,0.1340,0.0820,0.1200,11
249,I,0.3450,0.2700,0.1100,0.2135,0.0820,0.0545,0.0700,7
2160,M,0.6900,0.5500,0.2000,1.8465,0.7320,0.4720,0.5700,19
3811,M,0.5550,0.4450,0.1300,0.8625,0.4225,0.1550,0.2400,9
1839,I,0.4200,0.3250,0.1000,0.3680,0.1675,0.0625,0.1135,11
3875,M,0.2950,0.2250,0.0900,0.1385,0.0480,0.0460,0.0500,9
66,F,0.5650,0.4400,0.1600,0.9150,0.3540,0.1935,0.3200,12
188,F,0.6300,0.4800,0.1600,1.1990,0.5265,0.3350,0.3150,11
2329,I,0.4800,0.3900,0.1450,0.5825,0.2315,0.1210,0.2550,15
219,F,0.4150,0.3050,0.1300,0.3200,0.1305,0.0755,0.1050,8
380,M,0.6050,0.4700,0.1800,1.1405,0.3755,0.2805,0.3850,15
218,M,0.4700,0.3600,0.1350,0.5010,0.1665,0.1150,0.1650,10
3171,M,0.5250,0.4050,0.1600,0.7920,0.3160,0.1455,0.2800,13
1766,F,0.3750,0.2700,0.1350,0.5970,0.2720,0.1310,0.1675,7
835,I,0.4500,0.3500,0.1300,0.5470,0.2450,0.1405,0.1405,8
1958,I,0.6500,0.5200,0.1500,1.2380,0.5495,0.2960,0.3305,10
3946,M,0.5250,0.4100,0.1650,0.8005,0.2635,0.1985,0.2500,13
252,F,0.5950,0.4550,0.1550,1.0605,0.5135,0.2165,0.3000,12
2500,F,0.4800,0.3900,0.1250,0.6905,0.2190,0.1550,0.2000,12
3363,I,0.5400,0.4050,0.1500,0.7585,0.3070,0.2075,0.1900,10
2374,I,0.4350,0.3350,0.1100,0.3830,0.1555,0.0675,0.1350,12
1232,I,0.3700,0.2900,0.0900,0.2445,0.0890,0.0655,0.0750,7
596,F,0.5500,0.4300,0.1400,0.7135,0.2565,0.1860,0.2250,9
1811,M,0.6500,0.5250,0.1900,1.6125,0.7770,0.3685,0.3965,11
918,I,0.4100,0.3050,0.0900,0.3535,0.1570,0.0745,0.1000,7
654,F,0.3700,0.2800,0.1100,0.2305,0.0945,0.0465,0.0750,10
472,I,0.4300,0.3400,0.1200,0.3575,0.1510,0.0645,0.1045,9
15,M,0.5000,0.4000,0.1300,0.6645,0.2580,0.1330,0.2400,12
1940,F,0.6250,0.5200,0.1800,1.3540,0.4845,0.3510,0.3750,11
3601,I,0.3700,0.2850,0.0950,0.2260,0.1135,0.0515,0.0675,8
2714,I,0.2900,0.2150,0.0650,0.0985,0.0425,0.0210,0.0310,5
4163,I,0.3900,0.3100,0.0850,0.3440,0.1810,0.0695,0.0790,7
2340,F,0.5900,0.4700,0.1700,0.9000,0.3550,0.1905,0.2500,11
1271,I,0.4700,0.3550,0.1200,0.3930,0.1670,0.0885,0.1150,8
3563,I,0.5750,0.4550,0.1550,0.8725,0.3490,0.2095,0.2850,8
3311,F,0.4800,0.3800,0.1350,0.5070,0.1915,0.1365,0.1550,12
388,M,0.4900,0.4200,0.1250,0.6090,0.2390,0.1435,0.2200,14
3375,F,0.4600,0.3300,0.1500,0.5325,0.2085,0.1805,0.1250,10
1148,M,0.5800,0.4500,0.1450,1.0025,0.5470,0.1975,0.2295,8
234,I,0.4400,0.3500,0.1350,0.4350,0.1815,0.0830,0.1250,12
3783,I,0.6200,0.4800,0.1800,1.1305,0.5285,0.2655,0.3060,12
2476,M,0.6450,0.4850,0.1550,1.4890,0.5915,0.3120,0.3800,18
36,F,0.5400,0.4750,0.1550,1.2170,0.5305,0.3075,0.3400,16
896,I,0.2550,0.1800,0.0550,0.0830,0.0310,0.0215,0.0200,4
1521,F,0.6800,0.5000,0.1850,1.7410,0.7665,0.3255,0.4685,12
3785,M,0.6250,0.4950,0.1550,1.1770,0.5055,0.2780,0.3450,9
2509,I,0.4150,0.3150,0.0900,0.3625,0.1750,0.0835,0.0930,6
4085,M,0.5850,0.5100,0.1600,1.2180,0.6390,0.2410,0.3000,11
2810,M,0.7200,0.5500,0.2050,2.1650,1.1055,0.5250,0.4040,10
3034,M,0.5400,0.4200,0.1900,0.6855,0.2930,0.1630,0.3800,10
1793,M,0.5750,0.4400,0.1850,1.0250,0.5075,0.2245,0.2485,10
688,M,0.5250,0.4000,0.1700,0.7305,0.2790,0.2055,0.1950,11
317,M,0.4500,0.3500,0.1000,0.3675,0.1465,0.1015,0.1200,10
3549,I,0.5000,0.3650,0.1250,0.5280,0.2290,0.1030,0.1645,9
794,M,0.5800,0.4650,0.1600,1.0345,0.3150,0.2600,0.3635,12
1983,F,0.7250,0.5700,0.2050,1.6195,0.7440,0.3150,0.4880,11
1969,F,0.6700,0.5300,0.2050,1.4015,0.6430,0.2465,0.4160,12
1625,M,0.5650,0.4300,0.1500,0.8310,0.4245,0.1735,0.2190,10
620,M,0.3450,0.2550,0.0800,0.1690,0.0600,0.0425,0.0540,10
1237,I,0.3750,0.2750,0.0950,0.2465,0.1100,0.0415,0.0775,6
2569,I,0.4600,0.3450,0.1150,0.4215,0.1895,0.1020,0.1110,6
177,I,0.3150,0.2450,0.0850,0.1435,0.0530,0.0475,0.0500,8
50,I,0.5200,0.4100,0.1200,0.5950,0.2385,0.1110,0.1900,8
64,M,0.5200,0.4000,0.1200,0.5800,0.2340,0.1315,0.1850,8
1593,I,0.5250,0.3800,0.1350,0.6150,0.2610,0.1590,0.1750,8
879,F,0.6400,0.5100,0.1650,1.4860,0.7595,0.3320,0.3210,8
2347,M,0.5050,0.4000,0.1300,0.7640,0.3035,0.1890,0.2175,11
3515,F,0.6900,0.5250,0.1900,1.4920,0.6425,0.3905,0.4200,12
953,F,0.4850,0.3700,0.1150,0.4785,0.1995,0.0955,0.1290,7
4087,I,0.5950,0.4750,0.1550,0.9840,0.4865,0.1840,0.2755,10
3569,I,0.5800,0.4700,0.1500,0.9070,0.4440,0.1855,0.2445,11
3353,I,0.4750,0.3650,0.1400,0.4545,0.1710,0.1180,0.1580,8
1281,I,0.5000,0.3800,0.1350,0.5940,0.2945,0.1040,0.1565,9
399,M,0.5850,0.4550,0.1500,0.9870,0.4355,0.2075,0.3100,11
3728,I,0.5100,0.3750,0.1500,0.8415,0.3845,0.1560,0.2550,10
2549,I,0.2800,0.2100,0.0550,0.1060,0.0415,0.0265,0.0310,5
2760,I,0.5500,0.4300,0.1450,0.7120,0.3025,0.1520,0.2250,10
758,M,0.5700,0.4400,0.1550,1.1160,0.4775,0.2315,0.2700,13
1815,F,0.6650,0.5150,0.1850,1.3405,0.5595,0.2930,0.4375,11
1300,I,0.5300,0.4250,0.1300,0.7675,0.4190,0.1205,0.2100,9
2944,M,0.6300,0.5100,0.1700,1.1885,0.4915,0.3065,0.3480,7
1359,M,0.6050,0.4900,0.1400,0.9755,0.4190,0.2060,0.3150,10
2990,F,0.5900,0.4400,0.1400,1.0070,0.4775,0.2105,0.2925,9
461,F,0.5850,0.4650,0.1700,0.9915,0.3865,0.2240,0.2650,12
2996,F,0.6200,0.5000,0.1700,1.1480,0.5475,0.2200,0.3315,10
2162,F,0.7100,0.5650,0.1950,1.8170,0.7850,0.4920,0.4900,11
1261,I,0.4500,0.3300,0.1050,0.4480,0.2080,0.0890,0.1200,9
2911,F,0.5800,0.4400,0.1250,0.7855,0.3630,0.1955,0.1950,11
3682,M,0.6200,0.5000,0.1800,1.3915,0.7260,0.2795,0.3320,11
2931,F,0.6150,0.5150,0.1350,1.1215,0.5450,0.2305,0.2900,9
788,F,0.5050,0.3900,0.1600,0.6440,0.2475,0.2025,0.1635,9
4110,M,0.5100,0.4100,0.1550,1.2825,0.5690,0.2910,0.3795,9
3202,F,0.6200,0.4850,0.2200,1.5110,0.5095,0.2840,0.5100,17
899,I,0.2950,0.2300,0.0800,0.1625,0.0650,0.0500,0.0385,5
1411,F,0.6700,0.5300,0.2250,1.5615,0.6300,0.4870,0.3725,11
386,M,0.5400,0.4200,0.1550,0.7385,0.3515,0.1520,0.2150,12
3159,F,0.3400,0.2550,0.0850,0.2040,0.0970,0.0210,0.0500,6
1139,F,0.5750,0.4700,0.1650,0.8690,0.4350,0.1970,0.2380,9
1974,M,0.6850,0.5350,0.1550,1.3845,0.6615,0.2145,0.4075,10
2143,M,0.4700,0.3700,0.1050,0.4665,0.2025,0.1015,0.1550,10
3405,I,0.3400,0.2500,0.0750,0.1765,0.0785,0.0405,0.0500,7
4117,F,0.6400,0.5050,0.1750,1.3185,0.6185,0.3020,0.3315,9
989,M,0.5750,0.4750,0.1600,1.1140,0.4955,0.2745,0.2900,9
191,M,0.6100,0.4850,0.1700,1.0225,0.4190,0.2405,0.3600,12
1070,I,0.3750,0.2750,0.1000,0.2325,0.1165,0.0420,0.0650,6
3170,F,0.5700,0.4650,0.1550,0.8720,0.3245,0.2390,0.2850,14
1051,F,0.7350,0.6000,0.2200,2.5550,1.1335,0.4400,0.6000,11
4031,I,0.4400,0.3250,0.1100,0.4965,0.2580,0.1195,0.1075,8
2970,M,0.6900,0.5150,0.1800,1.8445,0.9815,0.4655,0.3410,13
2560,I,0.4400,0.3350,0.1100,0.3885,0.1750,0.0835,0.1110,7
2801,M,0.6400,0.5150,0.0800,1.0420,0.5150,0.1755,0.1750,10
383,M,0.4700,0.3750,0.1200,0.5565,0.2260,0.1220,0.1950,12
2675,M,0.6000,0.4900,0.2100,1.9875,1.0050,0.4190,0.4910,10
2155,M,0.5800,0.4600,0.1650,1.2275,0.4730,0.1965,0.4350,16
565,M,0.3500,0.2550,0.0650,0.1790,0.0705,0.0385,0.0600,10
4008,M,0.5850,0.4550,0.1550,1.1330,0.5515,0.2230,0.3050,12
2689,M,0.6450,0.5150,0.1600,1.1845,0.5060,0.3110,0.3350,9
3962,F,0.7200,0.5750,0.1950,2.1505,1.0745,0.3820,0.5850,10
720,I,0.1600,0.1100,0.0250,0.0180,0.0065,0.0055,0.0050,3
1185,F,0.6700,0.5050,0.2050,1.3645,0.6075,0.3025,0.3530,9
1220,I,0.3300,0.2500,0.0950,0.2085,0.1020,0.0395,0.0520,7
2423,F,0.4100,0.3150,0.1100,0.3210,0.1255,0.0655,0.0950,10
1386,M,0.6300,0.4850,0.1450,1.0620,0.5065,0.1785,0.3365,12
3633,I,0.3000,0.2200,0.0650,0.1195,0.0520,0.0155,0.0350,5
4018,M,0.6600,0.4850,0.1550,1.2275,0.6100,0.2740,0.3000,8
3509,F,0.6450,0.5200,0.1750,1.3345,0.6670,0.2665,0.3550,10
3660,F,0.5450,0.4100,0.1250,0.6540,0.2945,0.1315,0.2050,10
3945,I,0.2350,0.1750,0.0650,0.0615,0.0205,0.0200,0.0190,6
3173,M,0.3500,0.2650,0.0900,0.2265,0.0995,0.0575,0.0650,6
3978,M,0.4850,0.3900,0.1200,0.5990,0.2510,0.1345,0.1690,8
3149,F,0.7000,0.5400,0.2150,1.9780,0.6675,0.3125,0.7100,24
939,I,0.4600,0.3600,0.1000,0.4635,0.2325,0.0930,0.1150,7
1414,M,0.6850,0.5450,0.2050,1.7925,0.8145,0.4160,0.4610,9
263,I,0.2450,0.1950,0.0600,0.0950,0.0445,0.0245,0.0260,4
1078,I,0.4200,0.3100,0.0950,0.2790,0.1255,0.0510,0.0880,6
1945,F,0.6350,0.5050,0.1550,1.2895,0.5940,0.3140,0.3450,11
965,M,0.5100,0.3900,0.1350,0.7690,0.3935,0.1455,0.1900,8
1494,M,0.6200,0.4850,0.1550,1.0490,0.4620,0.2310,0.2500,10
2563,I,0.4400,0.3550,0.1200,0.4950,0.2310,0.1100,0.1250,7
3269,F,0.5950,0.4650,0.1450,1.1070,0.4020,0.2415,0.3100,12
